,created_at,hour_created_at,is_charter,airline_code,api_fare,baggage,class,available_seat,flight_date_time
5150,2023-11-15,14,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
5151,2023-11-15,14,0,18,450739650.0,35.0,1,7.0,2023-11-16 05:00:00
5153,2023-11-15,14,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
7613,2023-11-15,14,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
7631,2023-11-15,14,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
7640,2023-11-15,14,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
7656,2023-11-15,14,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
7665,2023-11-15,14,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
7666,2023-11-15,14,0,18,450739650.0,35.0,1,7.0,2023-11-16 05:00:00
7667,2023-11-15,14,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
9226,2023-11-15,15,0,18,164135970.0,25.0,16,1.0,2023-11-16 05:00:00
9227,2023-11-15,15,0,18,164135970.0,25.0,16,2.0,2023-11-16 05:00:00
9230,2023-11-15,15,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
9261,2023-11-15,15,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
9278,2023-11-15,15,0,18,244160190.0,25.0,16,1.0,2023-11-16 05:00:00
9279,2023-11-15,15,0,18,244160190.0,25.0,16,2.0,2023-11-16 05:00:00
9281,2023-11-15,15,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
9307,2023-11-15,15,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
11618,2023-11-15,15,0,18,164135970.0,25.0,16,1.0,2023-11-16 05:00:00
11620,2023-11-15,15,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
11637,2023-11-15,15,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
11647,2023-11-15,15,0,18,244160190.0,25.0,16,1.0,2023-11-16 05:00:00
11648,2023-11-15,15,0,18,244160190.0,25.0,16,2.0,2023-11-16 05:00:00
11650,2023-11-15,15,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
11663,2023-11-15,15,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
13037,2023-11-15,16,0,18,164135970.0,25.0,16,1.0,2023-11-16 05:00:00
13038,2023-11-15,16,0,18,164135970.0,25.0,16,2.0,2023-11-16 05:00:00
13040,2023-11-15,16,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
13071,2023-11-15,16,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
13089,2023-11-15,16,0,18,244160190.0,25.0,16,1.0,2023-11-16 05:00:00
13090,2023-11-15,16,0,18,244160190.0,25.0,16,2.0,2023-11-16 05:00:00
13092,2023-11-15,16,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
13122,2023-11-15,16,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
13143,2023-11-15,16,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
13144,2023-11-15,16,0,18,450739650.0,35.0,1,7.0,2023-11-16 05:00:00
13149,2023-11-15,16,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
15592,2023-11-15,16,0,18,164135970.0,25.0,16,1.0,2023-11-16 05:00:00
15593,2023-11-15,16,0,18,164135970.0,25.0,16,2.0,2023-11-16 05:00:00
15595,2023-11-15,16,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
15613,2023-11-15,16,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
15624,2023-11-15,16,0,18,244160190.0,25.0,16,1.0,2023-11-16 05:00:00
15625,2023-11-15,16,0,18,244160190.0,25.0,16,2.0,2023-11-16 05:00:00
15627,2023-11-15,16,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
15644,2023-11-15,16,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
15655,2023-11-15,16,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
15657,2023-11-15,16,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
17155,2023-11-15,17,0,18,164135970.0,25.0,16,2.0,2023-11-16 05:00:00
17158,2023-11-15,17,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
17185,2023-11-15,17,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
17205,2023-11-15,17,0,18,244160190.0,25.0,16,2.0,2023-11-16 05:00:00
17208,2023-11-15,17,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
17231,2023-11-15,17,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
17251,2023-11-15,17,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
17255,2023-11-15,17,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
19302,2023-11-15,17,0,18,164135970.0,25.0,16,2.0,2023-11-16 05:00:00
19303,2023-11-15,17,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
19321,2023-11-15,17,0,18,165527970.0,25.0,16,9.0,2023-11-16 05:00:00
19331,2023-11-15,17,0,18,244160190.0,25.0,16,2.0,2023-11-16 05:00:00
19332,2023-11-15,17,0,18,244160190.0,25.0,16,9.0,2023-11-16 05:00:00
19345,2023-11-15,17,0,18,246064580.0,25.0,16,9.0,2023-11-16 05:00:00
19355,2023-11-15,17,0,18,450739650.0,35.0,1,6.0,2023-11-16 05:00:00
19357,2023-11-15,17,0,18,499608375.0,40.0,10,6.0,2023-11-16 05:00:00
20852,2023-11-15,18,0,18,164135970.0,25.0,16,2.0,2023-11-16 05:00:00
20856,2023-11-15,18,0,18,164135970.0,25.0,16,9.0,2023-11-16 05:00:00
